"Time"	"6 sonic do"	"5 sonicinl"	"3 WP right"	"2 WPcentre"	"1 WP left"
0.00					1173.16
0.01	-300.20	-482.88	-100.04	1274.41	1172.78
0.02	-301.24	-483.35	-99.62	1273.58	1172.96
0.03	-301.54	-483.15	-99.80	1274.97	1172.71
0.04	-301.82	-484.27	-100.07	1273.10	1172.74
0.05	-301.68	-482.97	-99.76	1272.48	1172.76
0.06	-302.73	-482.99	-99.68	1273.53	1172.57
0.07	-302.44	-483.39	-99.61	1273.25	1172.49
0.08	-301.10	-483.46	-99.92	1272.77	1172.78
0.09	-300.33	-482.58	-99.83	1277.03	1173.19
0.10	-301.53	-484.34	-99.31	1274.46	1173.62
0.11	-302.00	-483.84	-99.41	1272.47	1172.54
0.12	-304.65	-481.62	-99.72	1273.19	1172.92
0.13	-302.89	-483.14	-99.56	1273.52	1172.98
0.14	-301.70	-483.33	-99.45	1273.68	1172.85
0.15	-302.02	-483.60	-99.12	1270.75	1172.96
0.16	-302.05	-482.89	-99.58	1273.39	1171.65
0.17	-301.66	-484.24	-99.45	1273.89	1172.98
0.18	-303.45	-482.16	-99.33	1274.46	1172.65
0.19	-301.08	-483.51	-99.19	1273.37	1172.72
0.20	-301.04	-483.84	-99.30	1274.02	1172.80
0.21	-301.82	-483.04	-99.53	1272.26	1172.72
0.22	-302.30	-484.19	-99.47	1273.34	1171.00
0.23	-301.97	-483.85	-99.00	1274.46	1171.57
0.24	-302.42	-483.68	-99.28	1274.14	1171.44
0.25	-302.84	-484.02	-99.50	1273.21	1171.94
0.26	-302.58	-484.28	-99.30	1272.03	1172.71
0.27	-302.26	-484.52	-99.18	1274.28	1172.59
0.28	-302.48	-484.28	-99.01	1273.11	1174.27
0.29	-301.55	-483.71	-99.41	1273.07	1173.34
0.30	-301.88	-483.84	-99.46	1273.62	1172.94
0.31	-302.04	-483.08	-99.04	1274.50	1172.12
0.32	-301.77	-483.85	-99.21	1274.62	1172.03
0.33	-302.04	-483.63	-99.34	1272.98	1172.94
0.34	-302.16	-483.27	-99.47	1273.40	1173.12
0.35	-301.89	-483.49	-99.21	1274.30	1172.49
0.36	-302.65	-484.09	-99.05	1273.22	1172.65
0.37	-301.91	-483.74	-99.35	1274.04	1172.59
0.38	-301.48	-484.09	-99.56	1274.33	1171.96
0.39	-301.58	-482.39	-99.21	1274.61	1173.08
0.40	-302.23	-483.88	-99.19	1274.32	1173.67
0.41	-301.94	-482.82	-99.27	1272.45	1172.41
0.42	-302.65	-483.72	-99.56	1273.00	1172.31
0.43	-301.51	-483.83	-99.39	1272.91	1172.60
0.44	-302.55	-483.74	-99.05	1273.92	1173.11
0.45	-302.10	-484.33	-99.43	1273.80	1173.07
0.46	-302.08	-483.14	-99.73	1273.94	1170.76
0.47	-302.08	-483.14	-99.66	1274.53	1173.80
0.48	-301.51	-484.42	-99.40	1272.59	1173.34
0.49	-302.16	-483.27	-99.43	1274.52	1172.83
0.50	-302.72	-484.10	-99.84	1275.44	1172.45
0.51	-302.50	-483.21	-99.85	1273.86	1173.49
0.52	-301.88	-483.76	-99.62	1274.02	1172.56
0.53	-302.28	-482.26	-99.69	1274.22	1172.47
0.54	-301.98	-483.14	-99.96	1273.38	1172.96
0.55	-301.39	-483.23	-99.96	1274.06	1173.61
0.56	-302.08	-483.52	-99.88	1274.62	1173.07
0.57	-301.97	-482.39	-99.63	1273.82	1173.41
0.58	-302.59	-482.67	-100.06	1274.58	1172.57
0.59	-299.99	-482.98	-100.18	1274.41	1172.82
0.60	-300.88	-484.15	-99.92	1273.51	1172.86
0.61	-301.39	-483.42	-99.95	1271.51	1173.47
0.62	-302.33	-483.74	-100.19	1272.70	1173.58
0.63	-301.77	-484.06	-100.36	1272.85	1173.46
0.64	-300.19	-483.19	-100.30	1274.11	1173.03
0.65	-303.28	-482.56	-99.93	1274.81	1173.14
0.66	-302.84	-483.80	-100.33	1274.21	1173.61
